"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"亚比达奇凋死术","XGE","150","8环","1 动作","Instantaneous","死灵","150 尺","声音, 姿势, 材料 (一小块海绵)","术士, 术士, 法师, 法师","","你从以距离内由你指定的一点为中心、30 尺立方空间内的每个生物身上抽取水汽。在该区域内的每个生物必须进行一次体质豁免检定。构装生物和不死生物不受影响，而植物和水元素在进行此豁免检定时具有劣势。若豁免失败，生物将受到12d8黯蚀伤害，而豁免成功则只受到上述伤害的一半。在这个区域内的非魔法、非生物植物，例如树木和灌木，会立即死亡。",""
"亡灵召唤术","TCE","114","3环","1 动作","Concentration, up to 1 hour","死灵","90 尺","声音, 姿势, 材料 (一个镀金头骨，价值至少 300gp)","","法师, 邪术师","你唤来一个不死生物灵魄。其在施法距离内你可见的一个未占据位置化为实体。这一实体使用不死灵魄的数据。当你施展法术时，当你施展法术时，从虚灵，腐尸或骷髅中为此生物选择一个外形。此生物的外形为你所选形态的不死生物，其资料表中的部分特性也受此影响。当其生命值降至 0 或法术结束时，生物消失。该生物对你和你的同伴友善。在战斗中，该生物与你共享先攻，它在你的回合结束后行动。它听从你的口头命令（无需动作）。如果你不发出指令，该生物执行回避动作，并用自己的移动力来回避危险。"," 升环施法效应. 使用4环或更高法术位施展该法术时，该生物数据中使用更高的法术环数。"
"亡灵召唤术","PHB'24","328","3环","1 动作","Concentration, up to 1 hour","死灵","90 尺","声音, 姿势, 材料 (一个镀金的头骨，价值300+金币)","法师, 邪术师","","你召唤出一个亡灵精神。它在你施法范围内你能看到的未被占据的空间中显现，并使用不死灵魄的统计数据块。当你施放法术时，选择生物的形态：幽灵、腐烂或骷髅。这个精神类似于具有所选形态的亡灵生物，这决定了其统计数据块中的某些细节。当生物的生命值降至0或法术结束时，生物就会消失。这个生物成为你和你的盟友的盟友。在战斗中，生物共享你的先攻计数，但它会在你之后立即行动。它服从你的口头命令（你无需动作）。如果你没有发出任何命令，它会采取回避动作，并使用它的移动来避开危险。"," 升环施法效应. 在统计数据块中使用法术位的等级作为法术的等级。"
"亡者丧钟","XGE","169","戏法","1 动作","Instantaneous","死灵","60 尺","声音, 姿势","法师, 牧师, 邪术师","","你指向一个处于距离内、你能看见的生物，一阵哀痛的铃声在空中鸣响。目标必须通过一次感知豁免检定，否则受到1d8点黯蚀伤害。若目标失去了任何量的生命值，它改为受到1d12点黯蚀伤害。此法术的伤害在你达到 5 级（2d8 或 2d12），11 级（3d8 或 3d12），和 17 级（4d8 或 4d12）时提高一个伤害骰。",""
"亡者丧钟","PHB'24","334","戏法","1 动作","Instantaneous","死灵","60 尺","声音, 姿势","法师, 牧师, 邪术师","","你指向范围内你能看到的一个生物，目标附近10英尺内能听到一声悲伤的钟声。目标必须进行一次智力豁免检定，否则受到1d8 坏死伤害。如果目标缺失任何其生命值，它反而受到1d12 坏死伤害。"," 戏法升级. 当你的等级达到5级（2d8 或 2d12）、11级（3d8 或 3d12）和17级（4d8 或 4d12）时，伤害会增加一个骰子。"
"交友术","PHB'14","244","戏法","1 动作","Concentration, up to 1 minute","惑控","自身","姿势, 材料 (当此法术被施放时将少量化妆品擦在脸上)","吟游诗人, 术士, 法师, 邪术师","","指定一个对你非敌对的生物，你在法术持续时间内对其进行的所有魅力检定均具有优势。当该法术终止时，该生物将意识到你曾使用魔法操弄他的情绪，从而对你的态度转为敌对。此时如果该生物有暴力倾向则会直接对你发动攻击，而非暴力倾向的生物则会寻求其他的报复形式（由 DM 决定），具体情况视你与其交互时的具体内容而定。",""
"交友术","PHB'24","277","戏法","1 动作","Concentration, up to 1 minute","惑控","10 尺","姿势, 材料 (一些化妆品)","吟游诗人, 术士, 法师, 邪术师","","你在范围内对一个你能看到的生物散发出一种友谊的感觉。目标必须成功通过一次智力豁免检定，否则在法术持续期间获得魅惑状态。如果目标不是人型生物，你们正在战斗，或者在过去24小时内你已经对它施放了这个法术，则目标自动成功。如果目标受到伤害，或者你进行攻击检定、造成伤害或强迫任何人进行豁免检定，法术会提前结束。当法术结束时，目标会知道它被你用魅惑状态影响了。",""
"人类定身术","PHB'14","251","2环","1 动作","Concentration, up to 1 minute","惑控","60 尺","声音, 姿势, 材料 (一小块笔直的铁条)","吟游诗人, 德鲁伊, 术士, 法师, 牧师, 邪术师","","指定施法距离内一个你能看见的类人生物。该目标必须进行一次感知豁免，豁免失败则其在法术持续时间内陷入麻痹。目标在其每回合结束时可以再进行一次感知豁免，豁免成功则终止其身上该法术的效应。"," 升环施法效应. 使用三环或更高法术位施展该法术时，你使用的法术位每比二环高一环，你就可以额外指定一个类人生物。指定目标时，每个目标生物必须身处其他目标 30 尺范围内。"
"人类定身术","PHB'24","286","2环","1 动作","Concentration, up to 1 minute","惑控","60 尺","声音, 姿势, 材料 (一根直的铁条)","吟游诗人, 德鲁伊, 术士, 法师, 牧师, 邪术师","","选择一个你能看到的范围内的类人生物。目标必须成功通过一次智力豁免检定，否则在法术持续期间获得麻痹状态。在它的每个回合结束时，目标重复进行豁免检定，成功则自身结束法术效果。"," 升环施法效应. 每比2级法术位高一级，你可以额外选择一个人类生物作为目标。"
"以太化","PHB'14","238","7环","1 动作","Up to 8 hours","变化","自身","声音, 姿势","吟游诗人, 术士, 法师, 牧师, 邪术师","","你进入当前所处位面与以太位面边缘的重叠空间。你可以在法术持续时间内一直呆在该以太边缘，也可以使用动作解除法术。此时你可以向任意方向移动。如果向上或向下移动，则你移动的每尺距离需要额外消耗一尺的移动力。你可以看见并听见你原来的位面，但是所有事物都以灰度显示，而你也看不到 60 尺外的东西。在以太位面时，只有同样处在以太位面的其他生物才能被你影响或影响你。不在以太位面的生物无法察觉你，也无法与你互动，除非其具相应的特殊能力或魔法。你将无视所有不在以太位面的物品和效应，这使你可以穿越你能看见的原属位面物件。法术终止时，你立刻回到原本所在的位面，占据当前所在的空间位置。如果你的位置已经有一件固体的物件或一个生物，则你立刻被转移到最近一处你可占据而未被占据的空间位置，并受到两倍于你移动尺数的力场伤害。如果你正处于以太位面，或所在位面与以太位面不相连（比如某个外层位面），则该法术无效。"," 升环施法效应. 使用八环或更高法术位施展该法术时，你使用的法术位每比七环高一环，你就可以多指定三个自愿生物作为法术目标（包括你在内）。这些生物在你施法时必须在你 10 尺内。"
"以太化","PHB'24","269","7环","1 动作","8 hours","咒法","自身","声音, 姿势","吟游诗人, 术士, 法师, 牧师, 邪术师","","你步入以太位面的边缘区域，那里与你的当前位面重叠。在持续时间内，你留在边界以太中。在此期间，你可以朝任何方向移动。如果你向上或向下移动，每移动一英尺需要额外一英尺的代价。你可以感知你离开的位面，它看起来是灰色的，而且你无法看到那里60英尺以外的东西。在以太位面上时，你只能影响以及被该位面上的生物、物体和效果所影响。不在以太位面上的生物无法感知或与你互动，除非某个特性赋予了它们这样做的能力。当法术结束时，你将返回到你在边界以太中的空间对应的原位面。如果你出现在一个被占据的空间，你将被转移到最近的未被占据的空间，并受到等于你被移动的英尺数两倍的力量伤害。如果你在以太位面或不与以太位面相邻的位面（如外层位面之一）上施放这个法术，它将立即结束。"," 升环施法效应. 对于每个高于7级的法术位，你可以为目标至多三个自愿的生物（包括你自己）。施放法术时，这些生物必须在你10英尺范围内。"
"任意门","PHB'14","233","4环","1 动作","Instantaneous","咒法","500 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你将自己从当前位置传送至施法距离内的任意地点，并准确到达该目的地。法术的目的地可以是你能看见的、可想象的地点，也可以是通过距离和方向说明的地点，比如""径直向下 200 尺""，""西北向上 45 度 300 尺""。进行传送时，你的随身物件不能超过你的负重。你还可以带上一个自愿的生物，且其体型不能比你大，而他的随身物件也不能超过其负重。该生物在你施法时必须在你 5 尺内。如果你的目的地已经被生物或物件占据，则你以及任何与你一起传送的生物都将受到 4d6 点力场伤害，且法术传送失败。",""
"任意门","PHB'24","262","4环","1 动作","Instantaneous","咒法","500 尺","声音","吟游诗人, 术士, 法师, 邪术师","","你传送到范围内的一个位置。你到达的正是你想要到达的确切地点。它可以是你能看到的地方，你能想象的地方，或者你可以通过说明距离和方向来描述的地方，比如""正下方200英尺""或""向西北上方300英尺，成45度角。""你还可以传送一个自愿的生物。在你传送时，该生物必须与你的距离在5英尺以内，并且它会传送到你目的地5英尺范围内的空间。如果你、另一个生物或两者都会到达一个被生物占据的空间或完全被一个或多个物体填满的空间，你和任何与你一起传送的生物都会受到4d6力场伤害，且传送失败。",""
"众星冠冕","XGE","152","7环","1 动作","1 hour","塑能","自身","声音, 姿势","术士, 术士, 法师, 法师, 邪术师, 邪术师","","七个星型的光点在你的头顶浮现并环绕，直到法术结束。你可以使用一个附赠动作消耗一个光点袭向在你 120 尺内的一个生物或物品。当你这么做时，进行一次远程法术攻击检定。若击中，目标受到4d12光耀伤害。无论你击中与否光点都将被消耗。如果你消耗了最后一枚光点，法术将提前结束。如果你还留存 4 个或更多的光点，它们会发出 30 尺半径的明亮照明和额外 30 尺的微亮照明。如果你还留存 1 至 3 个光点，它们只会发出 30 尺的微亮照明。"," 升环施法效应. 当你使用八环或更高的法术位施放该法术时，使用的法术位每高一环，你就可以多创造两枚额外的光点。"
"传讯术","PHB'14","259","戏法","1 动作","1 round","变化","120 尺","声音, 姿势, 材料 (一小段铜线)","吟游诗人, 奇械师, 术士, 法师","","你用手指指向施法距离内的一个生物并低声说出一段信息。该目标（且只有该目标）会听到这段信息并可以用只有你能听见的低语回复你。你可以隔着固态物件施展该法术，但你必须熟悉法术目标并知晓其就在屏障后方。魔法的沉默，1 尺厚的石头，1 寸厚的普通金属，一片薄铅片，或者 3 尺厚的木料都可以阻挡该法术。该法术不需要直线传递信息，它可以自由地转过拐角或穿过孔洞。",""
"传讯术","PHB'24","298","戏法","1 动作","1 round","变化","120 尺","姿势, 材料 (一根铜线)","吟游诗人, 奇械师, 德鲁伊, 术士, 法师","","你指向一个在你施法范围内的生物并低声传递一条信息。目标（只有目标）会听到这条信息，并且可以用只有你能听到的低语回复。如果你熟悉目标并且知道它在障碍物的另一侧，你可以通过固体物体施放这个法术。魔法沉默；1英尺厚的石头、金属或木头；或者一层薄铅板可以阻挡这个法术。",""
"传送术","PHB'14","281","7环","1 动作","Instantaneous","咒法","10 尺","声音","吟游诗人, 术士, 法师","","该法术将你以及施法距离内你能看见的至多八个自愿生物，或者施法距离内你能看见的一个物件传送到你指定的某处地点。如果你指定一个物件作为法术目标，则该物件必须能被整个放进一个边长 10 尺的立方体中，且必须没有被一个非自愿生物所着装或携带。你只能指定你知道的地点作为传送目的地，而目的地必须与你位于同一个存在位面中。你对目的地的熟悉程度决定你是否能成功抵达。DM 可以掷一个 d100 并查阅下表。传送熟悉程度遇难相似区域偏离地点顺利抵达永久法阵———01–100相关物件———01–100非常熟悉01–0506–1314–2425–100偶尔见过01–3334–4344–5354–100见过一次01–4344–5354–7374–100描述01–4344–5354–7374–100查无此地01–5051–100—— 熟悉程度. ""永久法阵""指你知道某永久传送法阵的相关符文序列。""相关物件""指你持有一件在过去六个月内从目标地点取来的物件，例如某个法师图书馆内的一本书，某个皇家卧室里床上的亚麻线或某巫妖陵墓里的一块大理石。""非常熟悉""指的是你常去的地方，你仔细研究过的地方，或是你在施展该法术时能看见的地方。""偶尔见过""指你见过几次的地方，但你不是很熟悉。""见过一次""指你只见过一次的地方，包括通过魔法看到的地点。""听过描述""指一个你从别人那里听来位置和外观的地点，比如从地图上看来的地点。""查无此地""指根本不存在的地点。也许你尝试探知敌人的密室但看到的只是幻象，或者是一个你曾经熟悉但如今已不再存在的地点。 顺利抵达. 你和你的队伍（或目标物件）出现在你意料中的地点。 偏离地点. 你和你的队伍（或目标物件）出现在目的地随机方向上随机距离的一点。距离误差等于原定移动距离×1d10 × 1d10×1%。例如，假设你尝试移动 120 里而不幸偏离目标，并且在掷距离误差时两个 d10 投出了 5 和 3，那么你的传送距离误差是原定移动距离的 15%，也就是 18 里。DM 通过掷一次 d8 来判误差出现在目的地的哪个方向。1 为正北，2 为东北，3 为正东，依此类推。如果你们想要传送到一个海滨城市但却出现在离岸 18 里远的海上，那你们可有麻烦了。 相似区域. 你和你的队伍（或目标物件）出现在一个和目的地外观或氛围相似的不同地点。例如，如果你想回你自己的研究室去，则你可能会误打误撞出现在其他法师的研究室里，或是一个陈设有许多和你的研究室里相似工具的炼金用品店。通常你会出现在离目的地最近的相似地区，但由于该法术没有距离限制，你有可能会出现在同一个位面上的任何地点。 遇难. 该法术的意外魔法效果导致这次旅行特别艰难。尝试传送的所有生物（或目标物件）受到 3d10 点力场伤害，随后 DM 重投 d100 并查阅上表来决定你们出现在哪里（你们可能再次遇难，而每次遇难都要承受该伤害）。",""
"传送术","PHB'24","331","7环","1 动作","Instantaneous","咒法","10 尺","声音","吟游诗人, 术士, 法师","","这个法术可以瞬间传送你和你能在射程内看到的最多八个愿意的生物，或者你能在射程内看到的单一物体到你选择的目的地。如果你选择一个物体作为目标，它必须是大型或更小的，并且不能被不愿意的生物持有或携带。你选择的目的地必须是你已知的，并且它必须和你处于同一存在平面上。你对目的地的熟悉程度决定了你是否能够成功到达。主持人掷1d100，并查阅传送结果表及之后的解释。传送结果熟悉程度遇难相似区域偏离地点顺利抵达永久法阵———01-00链接物体———01-00非常熟悉01-0506-1314-2425-00偶尔见过01-3334-4344-5354-00曾经看过或被描述过01-4344-5354-7374-00查无此地01-5051-00—— 熟悉程度. 以下是表格中""熟悉度""列术语的含义：""永久圈""指的是一个你知道符记序列的永久性传送圈。""链接物体""意味着你拥有从期望目的地取出的物品，这个物品在过去六个月内被取走，比如从巫师图书馆中的一本书。""非常熟悉""是指你经常访问的地方，你仔细研究过的地方，或者你在施放法术时能看到的地方。""眼熟""是指你不止一次看到过的地方，但你对它并不是很熟悉。""曾经看过或描述过""是指你曾经见过一次的地方，可能是通过魔法，或者是你通过别人的描述知道的地方，也许是来自地图。""错误的目的地""是一个不存在的地方。也许你试图通过占卜术查看敌人的避难所，但反而看到了一个幻觉，或者你尝试传送到一个已经不存在的地点。 遇难. 该法术的意外魔法效果导致这次旅行特别艰难。尝试传送的所有生物（或目标物件）受到 3d10 点力场伤害，随后 DM 重投 d100 并查阅上表来决定你们出现在哪里（你们可能再次遇难，而每次遇难都要承受该伤害）。 相似区域. 你和你的团队（或目标物体）出现在与目标区域在视觉或主题上相似的不同区域。你会出现在最接近的类似地方。例如，如果你正前往你的家庭实验室，你可能会出现在同一城市的另一个人的实验室中。 偏离地点. 你和你的团队（或目标对象）出现在距离目的地2d12英里的随机方向上。掷1d8来决定方向：1，东；2，东南；3，南；4，西南；5，西；6，西北；7，北；或者8，东北。 顺利抵达. 你和你的团队（或目标物体）出现在你意图的位置。",""
"传送法阵","PHB'14","282","5环","1 分钟","1 round","咒法","10 尺","声音, 材料 (稀有粉笔和浸有价值 50gp 珍稀宝石的墨水，作为该法术的耗材)","吟游诗人, 术士, 法师","邪术师","施展该法术时，你在地上画出一个直径十尺的圆圈，并在其周围画出符文。这个圆形法阵将你所处的位置与你选择的一个与你处在同个位面上的永久传送法阵相连（你必须知道该法阵的符文序列）。圆圈中将打开一个发光的传送门，并一直维持到你的下一回合结束。任何进入传送门的生物将立即出现在目标法阵附近 5 尺内（如果该空间已被占据，则出现在最靠近目标法阵的未被占据空间）。许多神殿、公会和其他重要的场所都在其中某处设有永久的传送法阵。这种法阵各有自己的符文序列按特定顺序排列的一串魔法符文。当你最初获得施放该法术的能力时，你会知道物质位面上两个永久法阵的符文序列（由 DM 决定），随后你还可以在旅途中习得更多的符文序列。你只要花一分钟仔细研究一个新的符文序列就能够将其记录下来。当你在一年里对同一地点每日连续施展该法术后，将创造出一个永久的传送法阵。而你在如此创造法阵时并不需要使用该法阵进行传送。",""
"传送法阵","PHB'24","332","5环","1 分钟","1 round","咒法","10 尺","声音, 材料 (价值50+GP的稀有墨水，该法术会消耗掉它们。)","吟游诗人, 术士, 法师, 邪术师","","当你施放这个法术时，你在地上画一个5英尺半径的圆圈，上面刻有将你的位置与你选择的永久传送圈联系起来的符咒，这个传送圈的符咒序列你必须知道，并且它必须存在于你所在的相同位面。一个闪闪发光的传送门在你画的圆圈内打开，并一直保持开启状态，直到你的下一个回合结束。任何进入传送门的生物会瞬间出现在目标圆圈内5英尺范围内，或者如果那个空间被占据，则出现在最近的未被占据的空间。许多大型寺庙、公会大厅以及其他重要地点都设有永久性的传送圈。每个传送圈都包含一个独特的符记序列——一系列按照特定图案排列的符文。当你第一次获得施放这个法术的能力时，你学会了两个在物质位面上的目的地的符文序列，由DM决定。在你的冒险中，你可能会学会额外的符文序列。在研究了1分钟后，你可以将一个新的符文序列记在心里。你可以通过每天在同一个地点施放这个法术，连续365天来创建一个永久的传送圈。",""
"伪装术","PHB'14","274","5环","1 动作","8 hours","幻术","30 尺","声音, 姿势","吟游诗人, 术士, 法师","","该法术允许你修改施法距离内你能看见的任意数量生物的外观。你对指定的每个目标生物分别赋予一个虚假的新外貌。不愿意受该法术影响的目标可以进行一次魅力豁免，豁免成功则不受该法术影响。该法术能改变生物的物理外观，也能伪装出服装、护甲、武器和装备。肉眼看来目标的身高可以有 1 尺的增减，体态可胖可瘦可匀称。但是你不能改变身体的形状，所以目标变形的样子必须有四肢或类似的生理结构。此外，你可以随意改变其他的外观特征。该法术一直持续至持续时间结束，不过你可以用一个动作提前将其解除。此法术产生的变化无法应对物理检查。比如，你用此法术添了一顶帽子，那么现实物件会穿过帽子，且触碰帽子的人会摸不到任何东西或摸到的是目标的头和头发。若你用该法术让目标变得消瘦，别人用手触碰该目标时，会在看似还在半空中的时候碰到目标。一个生物可以使用其动作仔细观察一个目标，并进行一次对抗法术豁免 DC 的智力（调查）检定。检定成功则观察者将意识到目标进行了伪装。",""
"伪装术","PHB'24","314","5环","1 动作","8 hours","幻术","30 尺","声音, 姿势","吟游诗人, 术士, 法师","","你给予你视线范围内每个你选择的生物一个虚幻的外观。不愿意的目标可以进行一次魅力豁免检定，如果成功，则不受这个法术的影响。你可以给目标相同的外观或不同的外观。这个法术可以改变目标的身体和装备的外观。你可以使每个生物看起来矮1英尺或高1英尺，并且看起来更重或更轻。目标的新外观必须与目标有相同的基本肢体安排，但幻觉的范围由你决定。法术持续时间为持续时间。这个法术造成的变化无法经受物理检查。例如，如果你使用这个法术给一个生物的服装添加了一顶帽子，物体会穿过这顶帽子。一个生物如果采取研究行动来检查目标，可以对你的法术豁免难度等级进行一次智力( 调查)检定。如果成功，它会意识到目标进行了伪装。",""
"侦测善恶","PHB'14","231","1环","1 动作","Concentration, up to 10 minutes","预言","自身","声音, 姿势","圣武士, 牧师","","你在法术持续时间内能感觉到身边 30 尺内出现的任一异怪、天界生物、元素生物、精类生物、邪魔或不死生物的存在，并掌握其具体位置。另外，你也可以知晓 30 尺内的物件或地点是否被祝福或亵渎。该法术可以穿透大多障碍，但仍会被 1 尺厚石质或 1 寸厚金属质，或一层薄铅质，或 3 尺厚木质或泥质材料阻隔。",""
"侦测善恶","PHB'24","261","1环","1 动作","Concentration, up to 10 minutes","预言","自身 (30-尺 半径)","声音, 姿势","圣武士, 牧师","","在持续时间内，你可以感知到距离自身30英尺内的任何异怪、天界生物、元素、精类生物、邪魔或不死生物的位置。你还可以感知到圣居法术是否在此处生效，如果生效，还可以感知其所在位置。法术被1英尺厚的石头、泥土或木头；1英寸厚的金属；或薄铅板所阻挡。",""
"侦测思想","PHB'14","231","2环","1 动作","Concentration, up to 1 minute","预言","自身","声音, 姿势, 材料 (一块铜片)","吟游诗人, 术士, 法师","","你在法术持续时间内能读取特定生物的思想。你可以在施展法术时，或者在法术持续时间内以一个动作实现该效应。此时，受术生物必须身处你 30 尺内并且能被你看见，而你必须对其集中注意力。如果该生物智力为 3 或更低，或者不懂任何语言，则该生物不受影响。你最初了解的是该生物的表面想法，一般就是其此刻正想着的东西。你可以使用动作继续深入一个生物的思想，也可以用动作转移读心的目标。如果你继续深入，则目标必须进行一次感知豁免。豁免失败时，你了解到他的逻辑推理（如果有的话）、情绪状态以及他头脑中的一些大事（比如忧虑、挚爱和仇恨的事物）。豁免成功时，本法术终止。无论哪种情况，目标都会知道你正在窥探他的思想。除非你转移注意力到其他生物，否则他可以在其回合内使用动作进行一次智力检定，并与你的智力检定作对抗；生物胜出对抗时，法术终止。向目标提问可以引导目标的思想历程，因此此法术在审讯中特别有效。你还能用此法术侦测看不见的有思维生物。你可以在施展法术时，或者在法术持续时间内以一个动作实现该效应。此时，你可以搜寻 30 尺内的思想。该法术可以穿透大部分障碍，但仍会被 2 尺厚的石质，或 2 寸厚的金属质，或一层薄铅质材料所阻隔。你无法侦测到智力为 3 或更低的生物，也无法侦测不懂任何语言的生物。以该方式侦测到一个生物后，你可以在法术持续时间内如上文所述的读取其思想。你甚至不需要看见该生物，但其必须在其 30 尺内。",""
"侦测思想","PHB'24","262","2环","1 动作","Concentration, up to 1 minute","预言","自身","声音, 姿势, 材料 (1铜币)","吟游诗人, 术士, 法师","","你激活以下效果之一。直到法术结束，你可以在后续回合的魔法动作中激活任一效果。 感知思想. 你感知到30英尺范围内存在知道语言或具有心灵感应能力的生物的思维。你无法读取这些思维，但你知道有一个思考的生物存在。法术被1英尺厚的石头、泥土或木头；1英寸厚的金属；或薄铅板所阻挡。 读心. 选择一个你能看到的30英尺内的生物，或者通过""感知思维""选项检测到的30英尺内的生物。你了解到目标现在最关注的事情。如果目标不懂任何语言且不是心灵感应的，你将一无所获。作为你下一个回合的魔法行动，你可以试图更深入地探测目标的思维。如果你进行更深层次的探测，目标需进行一次智慧豁免检定。如果豁免失败，你能辨识出目标的推理、情感和其心中挥之不去的某个事物（如担忧、爱恋或憎恨）。如果豁免成功，法术结束。无论如何，目标都知道你在探测其思维，并且只要你没有将注意力从目标的思维上移开，目标就可以在其回合使用一个动作来进行一次智力（奥秘）检定，对抗你的法术豁免难度等级，在成功时终止该法术。",""
"侦测扭曲","SatO","12","2环","1 动作","Concentration, up to 1 minute","预言","自身","声音, 姿势, 材料 (一片剃刀叶)","术士, 术士, 法师, 法师, 邪术师, 邪术师","","持续时间内，你能够感知到你周围30尺范围内的传送门，且不论那些传送门是否开启。如果你以这种方式探测到一个传送门，你可以使用你的行动来研究它。使用你的施法能力进行一次DC 15的能力检定。在成功检定后，你将了解到传送门的目的地平面以及它需要何种传送门钥匙，然后这个法术结束。在失败检定时，你不会学到任何信息，并且在你再次施展这个法术之前，你不能再用这个法术研究那个传送门。本法术的侦测能力可以穿透大部分的障碍，但3尺厚的土木、1尺厚的岩石、1寸厚的常见金属、或薄薄一层铅都能阻挡本法术的侦测。",""
